gene_name	gene_id	transcript_id	cds_start	cds_length	tx_length	cds_end
DNAH14	ENSG00000185842.16	ENST00000682510.1	195	13854	14065	14048
LRP1B	ENSG00000168702.18	ENST00000389484.8	288	13800	15850	14087
DNAH10	ENSG00000197653.16	ENST00000673944.1	37	13770	14039	13806
FAT3	ENSG00000165323.16	ENST00000525166.6	375	13770	19504	14144
FAT1	ENSG00000083857.15	ENST00000441802.7	212	13767	14776	13978
SACS	ENSG00000151835.17	ENST00000682944.1	640	13767	15712	14406
APOB	ENSG00000084674.15	ENST00000233242.5	129	13692	14121	13820
LRP1	ENSG00000123384.14	ENST00000243077.8	483	13635	14923	14117
DNAH11	ENSG00000105877.19	ENST00000409508.8	208	13551	14343	13758
MUC17	ENSG00000169876.14	ENST00000306151.9	56	13482	14352	13537
TNXB	ENSG00000168477.21	ENST00000647633.1	161	13476	13831	13636
DNAH9	ENSG00000007174.18	ENST00000262442.9	30	13461	13711	13490
DNAH17	ENSG00000187775.17	ENST00000389840.7	128	13389	13725	13516
DNAH2	ENSG00000183914.15	ENST00000572933.6	1071	13284	14563	14354
HECTD4	ENSG00000173064.14	ENST00000682272.1	304	13257	15752	13560
HSPG2	ENSG00000142798.20	ENST00000374695.8	94	13176	14341	13269
VPS13D	ENSG00000048707.15	ENST00000620676.6	168	13167	16357	13334
ANK3	ENSG00000151150.22	ENST00000280772.7	338	13134	17019	13471
HUWE1	ENSG00000086758.17	ENST00000262854.11	394	13125	14731	13518
FAT2	ENSG00000086570.13	ENST00000261800.6	188	13050	14710	13237
UNC13B	ENSG00000198722.15	ENST00000635942.2	276	13023	14600	13298
DYNC2H1	ENSG00000187240.17	ENST00000650373.2	150	12945	13704	13094
PKD1	ENSG00000008710.20	ENST00000262304.9	210	12912	14140	13121
DNAH1	ENSG00000114841.18	ENST00000420323.7	262	12798	13105	13059
PKHD1L1	ENSG00000205038.12	ENST00000378402.10	121	12732	19969	12852
FCGBP	ENSG00000275395.7	ENST00000616721.6	9	12615	12787	12623
ANK2	ENSG00000145362.21	ENST00000506344.6	251	12552	14898	12802
ALMS1	ENSG00000116127.20	ENST00000613296.6	34	12507	12844	12540
DNAH6	ENSG00000115423.19	ENST00000389394.8	95	12477	12752	12571
DNAH3	ENSG00000158486.15	ENST00000685858.1	1	12393	12436	12393
PRKDC	ENSG00000253729.9	ENST00000314191.7	11	12387	13459	12397
PKHD1	ENSG00000170927.15	ENST00000371117.8	265	12225	16271	12489
CMYA5	ENSG00000164309.15	ENST00000446378.3	73	12210	12888	12282
FLG	ENSG00000143631.11	ENST00000368799.2	73	12186	12793	12258
DNAH7	ENSG00000118997.14	ENST00000312428.11	127	12075	12419	12201
VPS13B	ENSG00000132549.20	ENST00000358544.7	104	12069	14086	12172
FRAS1	ENSG00000138759.20	ENST00000512123.4	688	12039	15871	12726
KMT2A	ENSG00000118058.25	ENST00000531904.7	22	12018	16699	12039
DNAH12	ENSG00000174844.15	ENST00000495027.6	182	11883	12145	12064
ZNF469	ENSG00000225614.4	ENST00000565624.3	488	11862	13770	12349
AKAP9	ENSG00000127914.19	ENST00000359028.7	1	11796	12219	11796
BSN	ENSG00000164061.5	ENST00000296452.5	127	11781	15971	11907
TRRAP	ENSG00000196367.15	ENST00000456197.2	168	11622	12675	11789
ENSG00000286185	ENSG00000286185.1	ENST00000621744.4	1271	11532	14425	12802
NBPF19	ENSG00000271383.9	ENST00000651566.2	787	11532	13941	12318
XIRP2	ENSG00000163092.22	ENST00000672671.1	265	11514	12154	11778
LYST	ENSG00000143669.16	ENST00000389793.7	162	11406	13466	11567
NBPF10	ENSG00000271425.9	ENST00000583866.9	36	11388	13030	11423
VPS13C	ENSG00000129003.19	ENST00000644861.2	74	11262	13403	11335
IGFN1	ENSG00000163395.17	ENST00000335211.9	132	11127	11811	11258
CSMD3	ENSG00000164796.18	ENST00000297405.10	86	11124	13052	11209
ZFHX3	ENSG00000140836.17	ENST00000641206.2	1829	11112	17219	12940
LAMA5	ENSG00000130702.15	ENST00000252999.7	68	11088	11426	11155
DMD	ENSG00000198947.18	ENST00000357033.9	238	11058	13992	11295
SPTBN5	ENSG00000137877.10	ENST00000320955.8	205	11025	11699	11229
SPEN	ENSG00000065526.13	ENST00000375759.8	362	10995	12385	11356
SMG1	ENSG00000157106.18	ENST00000446231.7	368	10986	16062	11353
CSMD2	ENSG00000121904.19	ENST00000373381.9	134	10896	13655	11029
CUBN	ENSG00000107611.16	ENST00000377833.10	47	10872	11927	10918
ZFHX4	ENSG00000091656.19	ENST00000651372.2	421	10851	13987	11271
SVEP1	ENSG00000165124.19	ENST00000374469.6	199	10716	12205	10914
CSMD1	ENSG00000183117.20	ENST00000520002.5	557	10698	11740	11254
ASPM	ENSG00000066279.19	ENST00000680265.1	233	10656	11085	10888
USP34	ENSG00000115464.15	ENST00000398571.7	396	10641	11675	11036
MYO15A	ENSG00000091536.20	ENST00000647165.2	289	10593	11811	10881
WDFY3	ENSG00000163625.17	ENST00000295888.9	708	10581	14559	11288
RELN	ENSG00000189056.15	ENST00000424685.3	161	10410	11683	10570
UTRN	ENSG00000152818.20	ENST00000367545.8	580	10302	12918	10881
SZT2	ENSG00000198198.17	ENST00000634258.3	71	10299	14136	10369
BRCA2	ENSG00000139618.18	ENST00000380152.8	200	10257	11954	10456
VCAN	ENSG00000038427.16	ENST00000265077.8	287	10191	12345	10477
DCHS2	ENSG00000197410.14	ENST00000357232.10	445	10116	13354	10560
CDH23	ENSG00000107736.22	ENST00000224721.12	405	10065	11138	10469
PCNT	ENSG00000160299.19	ENST00000695558.1	74	10044	10559	10117
LAMA3	ENSG00000053747.17	ENST00000313654.14	232	10002	10651	10233
UNC80	ENSG00000144406.19	ENST00000673920.1	242	9975	13917	10216
MUC3A	ENSG00000169894.18	ENST00000379458.9	92	9972	11248	10063
ENSG00000188897	ENSG00000188897.10	ENST00000696174.1	73	9963	10754	10035
CELSR3	ENSG00000008300.17	ENST00000164024.5	253	9939	11933	10191
DCHS1	ENSG00000166341.9	ENST00000299441.5	368	9897	10713	10264
GOLGB1	ENSG00000173230.17	ENST00000393667.8	113	9810	11199	9922
SPEG	ENSG00000072195.15	ENST00000312358.12	136	9804	10782	9939
MKI67	ENSG00000148773.14	ENST00000368654.8	415	9771	12716	10185
CPLANE1	ENSG00000197603.16	ENST00000651892.2	180	9756	11302	9935
SRCAP	ENSG00000080603.17	ENST00000411466.7	537	9693	11905	10229
RANBP2	ENSG00000153201.17	ENST00000283195.11	126	9675	11708	9800
LAMA2	ENSG00000196569.14	ENST00000618192.5	109	9633	9960	9741
CFAP47	ENSG00000165164.14	ENST00000378653.8	67	9564	9941	9630
WDFY4	ENSG00000128815.20	ENST00000325239.12	147	9555	10082	9701
COL6A3	ENSG00000163359.17	ENST00000295550.9	243	9534	10532	9776
TEX15	ENSG00000133863.9	ENST00000638951.1	69	9531	11341	9599
VPS13A	ENSG00000197969.14	ENST00000360280.8	172	9525	15227	9696
FREM2	ENSG00000150893.11	ENST00000280481.9	269	9510	16122	9778
EYS	ENSG00000188107.15	ENST00000370621.7	528	9498	10485	10025
BPTF	ENSG00000171634.19	ENST00000582467.2	223	9477	11789	9699
HTT	ENSG00000197386.14	ENST00000355072.11	146	9429	13472	9574
REV3L	ENSG00000009413.17	ENST00000358835.7	459	9393	10815	9851
EP400	ENSG00000183495.15	ENST00000389561.7	131	9372	12289	9502
CEP350	ENSG00000135837.17	ENST00000367607.8	347	9354	13414	9700
MGA	ENSG00000174197.19	ENST00000703841.1	189	9345	12193	9533
CENPF	ENSG00000117724.15	ENST00000366955.8	169	9345	10290	9513
BOD1L1	ENSG00000038219.13	ENST00000507943.2	139	9297	9940	9435
TRIO	ENSG00000038382.23	ENST00000344204.9	385	9294	11460	9678
CFAP54	ENSG00000188596.11	ENST00000524981.9	34	9291	9776	9324
MYO15B	ENSG00000266714.11	ENST00000645453.3	259	9291	9914	9549
PRUNE2	ENSG00000106772.19	ENST00000376718.8	152	9267	12612	9418
ADGRG4	ENSG00000156920.11	ENST00000394143.6	292	9243	9933	9534
LAMA1	ENSG00000101680.16	ENST00000389658.4	78	9228	9642	9305
COL12A1	ENSG00000111799.22	ENST00000322507.13	313	9192	11725	9504
FRY	ENSG00000073910.23	ENST00000647500.1	152	9177	12973	9328
DMXL2	ENSG00000104093.14	ENST00000560891.6	227	9177	10596	9403
ATM	ENSG00000149311.20	ENST00000452508.6	190	9171	12954	9360
DMXL1	ENSG00000172869.15	ENST00000539542.6	484	9147	11538	9630
MAP1A	ENSG00000166963.13	ENST00000382031.5	32	9126	10553	9157
CELSR1	ENSG00000075275.18	ENST00000674500.2	451	9060	11559	9510
FRYL	ENSG00000075539.15	ENST00000358350.9	586	9042	11692	9627
CHD7	ENSG00000171316.14	ENST00000423902.7	518	8994	11606	9511
NBPF14	ENSG00000270629.7	ENST00000619423.4	193	8967	10779	9159
KALRN	ENSG00000160145.16	ENST00000682506.1	373	8961	16188	9333
CRYBG3	ENSG00000080200.10	ENST00000389622.7	197	8913	10779	9109
ASH1L	ENSG00000116539.14	ENST00000368346.7	641	8910	11942	9550
TRANK1	ENSG00000168016.15	ENST00000645898.2	246	8910	10611	9155
TNRC18	ENSG00000182095.15	ENST00000430969.6	638	8907	10839	9544
NBEA	ENSG00000172915.20	ENST00000379939.7	552	8904	11200	9455
ZZEF1	ENSG00000074755.15	ENST00000381638.7	136	8886	11466	9021
TACC2	ENSG00000138162.19	ENST00000369005.6	372	8847	9704	9218
COL7A1	ENSG00000114270.18	ENST00000681320.1	64	8835	9231	8898
OTOG	ENSG00000188162.12	ENST00000399391.7	1	8778	9984	8778
CELSR2	ENSG00000143126.8	ENST00000271332.4	542	8772	11015	9313
FBN2	ENSG00000138829.14	ENST00000262464.9	643	8739	10927	9381
WDR87	ENSG00000171804.11	ENST00000447313.7	143	8739	8990	8881
PRRC2C	ENSG00000117523.18	ENST00000647382.2	264	8697	10624	8960
CHD9	ENSG00000177200.18	ENST00000447540.6	252	8694	11547	8945
FBN1	ENSG00000166147.15	ENST00000316623.10	317	8616	11609	8932
DSP	ENSG00000096696.16	ENST00000379802.8	246	8616	9697	8861
PIEZO2	ENSG00000154864.14	ENST00000674853.1	982	8598	10859	9579
LRBA	ENSG00000198589.15	ENST00000357115.9	475	8592	10353	9066
PKD1L1	ENSG00000158683.10	ENST00000690269.1	27	8586	9141	8612
APC	ENSG00000134982.18	ENST00000504915.3	57	8586	9496	8642
FBN3	ENSG00000142449.13	ENST00000651877.1	18	8556	9090	8573
HRNR	ENSG00000197915.7	ENST00000368801.4	77	8553	9629	8629
NF1	ENSG00000196712.20	ENST00000691014.1	334	8550	12415	8883
MEGF8	ENSG00000105429.13	ENST00000251268.11	610	8538	11137	9147
PDZD2	ENSG00000133401.16	ENST00000438447.2	668	8520	11984	9187
WNK1	ENSG00000060237.19	ENST00000530271.6	644	8502	11804	9145
MXRA5	ENSG00000101825.8	ENST00000217939.7	167	8487	9804	8653
AKAP13	ENSG00000170776.22	ENST00000361243.6	82	8454	9468	8535
VWF	ENSG00000110799.14	ENST00000261405.10	251	8442	8830	8692
ZAN	ENSG00000146839.19	ENST00000613979.5	197	8439	8700	8635
NIPBL	ENSG00000164190.19	ENST00000282516.13	490	8415	10425	8904
UBR5	ENSG00000104517.13	ENST00000520539.6	467	8400	10895	8866
UTP20	ENSG00000120800.5	ENST00000261637.5	179	8358	9031	8536
TENM2	ENSG00000145934.17	ENST00000518659.6	685	8325	10356	9009
TENM4	ENSG00000149256.16	ENST00000278550.12	843	8310	14381	9152
TG	ENSG00000042832.12	ENST00000220616.9	44	8307	8455	8350
CEP290	ENSG00000198707.17	ENST00000675476.1	228	8301	8696	8528
ITPR1	ENSG00000150995.21	ENST00000649015.2	351	8277	9908	8627
NBEAL2	ENSG00000160796.18	ENST00000450053.8	197	8265	8842	8461
MGAM	ENSG00000257335.8	ENST00000475668.6	55	8262	9172	8316
SRRM2	ENSG00000167978.19	ENST00000576924.6	261	8259	9045	8519
FLNC	ENSG00000128591.16	ENST00000325888.13	233	8178	9159	8410
TENM1	ENSG00000009694.14	ENST00000371130.7	65	8178	12875	8242
NBEAL1	ENSG00000144426.19	ENST00000683969.1	338	8172	16349	8509
ZNF292	ENSG00000188994.14	ENST00000369577.8	28	8172	12341	8199
HIVEP1	ENSG00000095951.17	ENST00000379388.7	359	8157	9053	8515
CFAP46	ENSG00000171811.14	ENST00000368586.10	87	8148	8263	8234
CHD6	ENSG00000124177.16	ENST00000373233.8	62	8148	10719	8209
KMT2B	ENSG00000272333.8	ENST00000420124.4	17	8148	8485	8164
UNC79	ENSG00000133958.14	ENST00000695012.1	92	8124	9187	8215
ITPR2	ENSG00000123104.12	ENST00000381340.8	414	8106	12564	8519
CENPE	ENSG00000138778.14	ENST00000265148.9	25	8106	8541	8130
TENM3	ENSG00000218336.9	ENST00000511685.6	151	8100	10923	8250
NSD1	ENSG00000165671.22	ENST00000439151.7	198	8091	13042	8288
TASOR2	ENSG00000108021.22	ENST00000699051.1	95	8076	8917	8170
SETX	ENSG00000107290.14	ENST00000224140.6	185	8034	11101	8218
ITPR3	ENSG00000096433.11	ENST00000374316.9	1061	8016	9870	9076
GCN1	ENSG00000089154.11	ENST00000300648.7	19	8016	8681	8034
ANKRD11	ENSG00000167522.17	ENST00000378330.7	292	7992	9131	8283
HELZ2	ENSG00000130589.16	ENST00000467148.2	893	7950	10002	8842
FLNA	ENSG00000196924.19	ENST00000369850.10	246	7944	8507	8189
ATR	ENSG00000175054.16	ENST00000350721.9	30	7935	8158	7964
BAHCC1	ENSG00000266074.11	ENST00000584436.7	368	7920	10801	8287
FLNB	ENSG00000136068.16	ENST00000490882.5	166	7902	8079	8067
TEP1	ENSG00000129566.13	ENST00000262715.10	122	7884	10775	8005
BDP1	ENSG00000145734.20	ENST00000358731.9	228	7875	11037	8102
MAST4	ENSG00000069020.19	ENST00000403625.7	264	7872	10677	8135
IGSF10	ENSG00000152580.9	ENST00000282466.4	205	7872	8562	8076
USP24	ENSG00000162402.15	ENST00000294383.7	252	7863	10800	8114
ANKHD1-EIF4EBP3	ENSG00000254996.5	ENST00000532219.5	61	7854	8246	7914
COL6A5	ENSG00000172752.16	ENST00000373157.9	339	7845	8969	8183
HECTD1	ENSG00000092148.14	ENST00000399332.6	800	7833	9445	8632
ANKRD17	ENSG00000132466.20	ENST00000358602.9	131	7812	10797	7942
CEP295	ENSG00000166004.15	ENST00000325212.11	120	7806	8014	7925
ABCA12	ENSG00000144452.15	ENST00000272895.12	419	7788	9298	8206
POLQ	ENSG00000051341.15	ENST00000264233.6	112	7773	8757	7884
CHD8	ENSG00000100888.15	ENST00000643469.1	396	7746	8259	8141
EPG5	ENSG00000152223.16	ENST00000282041.11	91	7740	12688	7830
USP9X	ENSG00000124486.15	ENST00000703987.1	421	7728	8383	8148
ZFHX2	ENSG00000136367.15	ENST00000419474.5	473	7719	9296	8191
STAB1	ENSG00000010327.10	ENST00000321725.10	77	7713	7928	7789
MYO18B	ENSG00000133454.16	ENST00000407587.6	170	7707	8090	7876
ACAN	ENSG00000157766.19	ENST00000560601.4	382	7707	8960	8088
SPTBN4	ENSG00000160460.17	ENST00000598249.6	321	7695	8910	8015
SETD2	ENSG00000181555.22	ENST00000409792.4	190	7695	8541	7884
TLN1	ENSG00000137076.22	ENST00000706939.1	155	7677	8674	7831
USP9Y	ENSG00000114374.13	ENST00000651177.1	587	7668	9640	8254
NOTCH1	ENSG00000148400.13	ENST00000651671.1	263	7668	9568	7930
ZFYVE26	ENSG00000072121.17	ENST00000678386.1	141	7665	9719	7805
STAB2	ENSG00000136011.15	ENST00000388887.7	205	7656	8243	7860
MTOR	ENSG00000198793.14	ENST00000361445.9	122	7650	8721	7771
MYO9A	ENSG00000066933.17	ENST00000356056.10	543	7647	12478	8189
TLN2	ENSG00000171914.17	ENST00000636159.2	374	7629	12023	8002
DMBT1	ENSG00000187908.20	ENST00000338354.10	18	7629	7984	7646
RALGAPA1	ENSG00000174373.17	ENST00000680220.1	461	7629	9447	8089
ANKHD1	ENSG00000131503.21	ENST00000360839.7	136	7629	8195	7764
JMJD1C	ENSG00000171988.20	ENST00000399262.7	316	7623	8758	7938
CEP192	ENSG00000101639.19	ENST00000506447.5	81	7614	7960	7694
LRRK2	ENSG00000188906.17	ENST00000298910.12	136	7584	9239	7719
PIEZO1	ENSG00000103335.22	ENST00000301015.14	257	7566	8089	7822
CUL9	ENSG00000112659.14	ENST00000252050.9	64	7554	7759	7617
CIC	ENSG00000079432.9	ENST00000681038.1	141	7554	8299	7694
MGAM2	ENSG00000257743.9	ENST00000477922.4	91	7548	7903	7638
NCOR2	ENSG00000196498.15	ENST00000405201.6	470	7545	9001	8014
NCOR1	ENSG00000141027.23	ENST00000436068.2	264	7545	11039	7808
CACNA1A	ENSG00000141837.22	ENST00000638029.1	237	7539	7814	7775
FASN	ENSG00000169710.9	ENST00000306749.4	124	7536	8464	7659
PDE4DIP	ENSG00000178104.22	ENST00000704840.1	829	7527	9377	8355
SPTAN1	ENSG00000197694.19	ENST00000704202.1	111	7521	7907	7631
ZNF462	ENSG00000148143.13	ENST00000277225.10	221	7521	10345	7741
CEP250	ENSG00000126001.17	ENST00000706828.1	883	7500	8717	8382
ATRX	ENSG00000085224.23	ENST00000373344.11	216	7479	11165	7694
IGF2R	ENSG00000197081.16	ENST00000356956.6	166	7476	14061	7641
PTPN13	ENSG00000163629.13	ENST00000436978.5	481	7473	8573	7953
CR1	ENSG00000203710.12	ENST00000367049.9	112	7470	9937	7581
NAV2	ENSG00000166833.23	ENST00000396087.7	100	7467	7882	7566
TTC28	ENSG00000100154.15	ENST00000397906.7	118	7446	11770	7563
FN1	ENSG00000115414.21	ENST00000354785.11	267	7434	8390	7700
DOP1A	ENSG00000083097.15	ENST00000237163.9	261	7431	7995	7691
RIF1	ENSG00000080345.18	ENST00000444746.7	143	7419	14662	7561
NOTCH2	ENSG00000134250.21	ENST00000256646.7	257	7416	11425	7672
MAP1B	ENSG00000131711.15	ENST00000296755.12	58	7407	11790	7464
ABCA2	ENSG00000107331.18	ENST00000614293.5	7	7401	8102	7407
ACACB	ENSG00000076555.16	ENST00000338432.12	128	7377	9368	7504
HIVEP2	ENSG00000010818.11	ENST00000367604.6	1063	7341	10032	8403
SPG11	ENSG00000104133.16	ENST00000261866.12	16	7332	7772	7347
CREBBP	ENSG00000005339.15	ENST00000262367.10	798	7329	10790	8126
MUC6	ENSG00000184956.16	ENST00000421673.7	64	7320	8016	7383
SON	ENSG00000159140.23	ENST00000356577.10	56	7281	8393	7336
MPRIP	ENSG00000133030.22	ENST00000651222.2	393	7278	15419	7670
SPTA1	ENSG00000163554.15	ENST00000643759.2	199	7260	8018	7458
ARID1B	ENSG00000049618.25	ENST00000637015.2	1	7248	8616	7248
EP300	ENSG00000100393.15	ENST00000263253.9	414	7245	8779	7658
HIVEP3	ENSG00000127124.16	ENST00000372583.6	1311	7221	12617	8531
RP1L1	ENSG00000183638.6	ENST00000382483.4	266	7203	8014	7468
SPTBN2	ENSG00000173898.15	ENST00000617502.5	253	7194	7446	7446
FLG2	ENSG00000143520.6	ENST00000388718.5	74	7176	9124	7249
NAV3	ENSG00000067798.16	ENST00000397909.7	569	7158	10219	7726
ACACA	ENSG00000278540.5	ENST00000616317.5	538	7152	10013	7689
CACNA1G	ENSG00000006283.18	ENST00000359106.10	746	7134	8602	7879
CNOT1	ENSG00000125107.19	ENST00000317147.10	274	7131	8411	7404
NBAS	ENSG00000151779.14	ENST00000281513.10	31	7116	7278	7146
GPR179	ENSG00000277399.6	ENST00000616987.5	168	7104	9165	7271
SPTBN1	ENSG00000115306.16	ENST00000615901.4	250	7101	10226	7350
TRIOBP	ENSG00000100106.22	ENST00000644935.1	212	7098	10085	7309
TPR	ENSG00000047410.14	ENST00000367478.9	226	7092	9636	7317
SEC16A	ENSG00000148396.19	ENST00000684901.1	295	7074	9018	7368
PTPRZ1	ENSG00000106278.12	ENST00000651863.1	174	7065	7840	7238
ZDBF2	ENSG00000204186.10	ENST00000649650.1	405	7065	10303	7469
OTOGL	ENSG00000165899.12	ENST00000547103.7	89	7062	9982	7150
CACNA1H	ENSG00000196557.13	ENST00000348261.11	384	7062	8219	7445
C2CD3	ENSG00000168014.18	ENST00000334126.12	211	7062	7939	7272
F8	ENSG00000185010.15	ENST00000360256.9	172	7056	9032	7227
FAM186A	ENSG00000185958.10	ENST00000327337.6	126	7056	7255	7181
ROS1	ENSG00000047936.11	ENST00000368508.7	200	7044	7435	7243
KNL1	ENSG00000137812.21	ENST00000346991.9	391	7029	9573	7419
PCNX1	ENSG00000100731.16	ENST00000304743.7	393	7026	12865	7418
CACNA1B	ENSG00000148408.14	ENST00000371372.6	153	7020	9792	7172
PRPF8	ENSG00000174231.18	ENST00000304992.11	100	7008	7280	7107
PTPRQ	ENSG00000139304.16	ENST00000616559.4	1	6999	8165	6999
SPTB	ENSG00000070182.21	ENST00000644917.1	168	6987	10177	7154
CNTRL	ENSG00000119397.19	ENST00000373855.7	318	6978	7719	7295
CSPG4	ENSG00000173546.7	ENST00000308508.5	94	6969	8290	7062
NOTCH3	ENSG00000074181.9	ENST00000263388.7	91	6966	8680	7056
BRWD1	ENSG00000185658.14	ENST00000333229.6	329	6963	10141	7291
AKAP6	ENSG00000151320.11	ENST00000280979.9	146	6960	14984	7105
CACNA1E	ENSG00000198216.14	ENST00000367573.7	229	6942	16420	7170
APC2	ENSG00000115266.12	ENST00000590469.6	237	6912	10179	7148
PLCE1	ENSG00000138193.17	ENST00000371380.8	693	6909	12481	7601
AHCTF1	ENSG00000153207.16	ENST00000366508.5	138	6906	8751	7043
DOP1B	ENSG00000142197.13	ENST00000691173.1	147	6897	7746	7043
WNK2	ENSG00000165238.17	ENST00000297954.9	267	6894	8338	7160
MAP4	ENSG00000047849.22	ENST00000426837.6	89	6894	8920	6982
ARMCX4	ENSG00000196440.12	ENST00000423738.5	512	6873	7729	7384
POLE	ENSG00000177084.19	ENST00000320574.10	28	6861	7823	6888
GOLGA4	ENSG00000144674.19	ENST00000431105.2	307	6858	7858	7164
ARID1A	ENSG00000117713.21	ENST00000324856.13	390	6858	8595	7247
ZNF318	ENSG00000171467.16	ENST00000361428.3	283	6840	8210	7122
ABCA4	ENSG00000198691.14	ENST00000370225.4	104	6822	7328	6925
LOXHD1	ENSG00000167210.17	ENST00000642948.1	188	6822	7208	7009
URB1	ENSG00000142207.7	ENST00000382751.4	103	6816	10818	6918
ICE1	ENSG00000164151.12	ENST00000296564.9	240	6801	7930	7040
ABCA1	ENSG00000165029.17	ENST00000678995.1	314	6792	10413	7105
COL6A6	ENSG00000206384.11	ENST00000358511.11	253	6792	8689	7044
PKDREJ	ENSG00000130943.7	ENST00000253255.7	22	6762	7681	6783
CACNA1C	ENSG00000151067.23	ENST00000682544.1	292	6756	7047	7047
ASXL3	ENSG00000141431.14	ENST00000696964.1	414	6750	11763	7163
ZNF407	ENSG00000215421.10	ENST00000299687.10	122	6747	8071	6868
USF3	ENSG00000176542.10	ENST00000316407.9	408	6738	13704	7145
DNAJC13	ENSG00000138246.17	ENST00000260818.11	273	6732	7754	7004
GON4L	ENSG00000116580.20	ENST00000615926.4	124	6726	7771	6849
DIDO1	ENSG00000101191.17	ENST00000266070.8	357	6723	8574	7079
SYTL2	ENSG00000137501.18	ENST00000359152.10	578	6720	8263	7297
BLTP2	ENSG00000007202.16	ENST00000528896.7	103	6708	7428	6810
PRRC2B	ENSG00000288701.1	ENST00000684596.1	267	6690	11253	6956
F5	ENSG00000198734.12	ENST00000367796.3	203	6690	7039	6892
RTTN	ENSG00000176225.15	ENST00000640769.2	30	6681	7830	6710
CAD	ENSG00000084774.14	ENST00000264705.9	184	6678	7286	6861
SPAG17	ENSG00000155761.14	ENST00000336338.10	72	6672	7203	6743
CACNA1I	ENSG00000100346.18	ENST00000402142.4	1	6672	10002	6672
MED13L	ENSG00000123066.9	ENST00000650226.1	44	6669	8717	6712
CABIN1	ENSG00000099991.18	ENST00000398319.6	386	6663	7480	7048
MYO7A	ENSG00000137474.23	ENST00000409709.9	291	6648	7483	6938
